,time,vehiclestatus,chargestatus,runmodel,speed,summileage,sumvoltage,sumcurrent,soc,dcdcstatus,gearnum,insulationresistance,max_volt_num,max_volt_cell_id,max_cell_volt,min_volt_num,min_volt_cell_id,min_cell_volt,max_temp_num,max_temp_probe_id,max_temp,min_temp_num,min_temp_probe_id,min_temp,power,distince,distance
120,01-10 01,1,3,1,0.0,39938.0,394.7,16.7,98,1,15,5240,1,17,4.115,1,95,4.1,1,17,6,1,24,5,6591.49,0.0,0.0
121,01-10 01,1,3,1,0.0,39938.0,394.7,0.9,98,1,15,5255,1,17,4.117,1,95,4.1,1,17,6,1,24,5,355.23,0.0,0.0
122,01-10 01,1,3,1,0.0,39938.0,394.7,7.5,98,1,15,5255,1,17,4.1160000000000005,1,32,4.101,1,17,6,1,24,5,2960.25,0.0,0.0
123,01-10 01,1,3,1,0.0,39938.0,394.7,0.9,98,1,15,5175,1,17,4.115,1,32,4.096,1,17,6,1,24,5,355.23,0.0,0.0
124,01-10 01,1,3,1,0.0,39938.0,394.7,18.4,98,1,15,5175,1,17,4.115,1,32,4.106,1,17,6,1,24,5,7262.48,0.0,0.0
125,01-10 01,1,3,1,0.0,39938.0,394.0,3.4,98,1,15,5145,1,76,4.115,1,47,4.0939999999999985,1,19,6,1,24,5,1339.6,0.0,0.0
126,01-10 01,1,3,1,0.0,39938.0,394.5,1.4,98,1,15,5145,1,76,4.113,1,47,4.096,1,19,6,1,24,5,552.3,0.0,0.0
127,01-10 01,1,3,1,0.0,39938.0,394.5,1.5,98,1,15,5145,1,76,4.115,1,47,4.096,1,19,6,1,24,5,591.75,0.0,0.0
128,01-10 01,1,3,1,0.0,39938.0,393.7,20.3,98,1,15,5182,1,76,4.114,1,47,4.099,1,19,6,1,24,5,7992.11,0.0,0.0
129,01-10 01,1,3,1,0.0,39938.0,393.5,4.2,98,1,15,5182,1,17,4.115,1,32,4.099,1,19,6,1,24,5,1652.7,0.0,0.0
130,01-10 01,1,3,1,0.0,39938.0,393.5,0.9,98,1,15,5260,1,17,4.115,1,32,4.1,1,19,6,1,24,5,354.15000000000003,0.0,0.0
131,01-10 01,1,3,1,0.0,39938.0,393.5,14.2,98,1,15,5260,1,17,4.115,1,32,4.0939999999999985,1,19,6,1,24,5,5587.7,0.0,0.0
132,01-10 01,1,3,1,0.0,39938.0,393.5,0.9,98,1,15,5172,1,17,4.114,1,32,4.098,1,19,6,1,24,5,354.15000000000003,0.0,0.0
133,01-10 01,1,3,1,0.0,39938.0,393.2,13.1,98,1,15,5172,1,76,4.112,1,85,4.098,1,19,6,1,24,5,5150.92,0.0,0.0
134,01-10 01,1,3,1,0.0,39938.0,393.5,1.4,98,1,15,5172,1,76,4.113,1,85,4.099,1,19,6,1,24,5,550.9,0.0,0.0
135,01-10 01,1,3,1,0.0,39938.0,394.2,17.1,98,1,15,5140,1,76,4.113,1,85,4.0939999999999985,1,19,6,1,24,5,6740.820000000001,0.0,0.0
136,01-10 01,1,3,1,0.0,39938.0,394.0,1.5,98,1,15,5140,1,76,4.113,1,32,4.098,1,19,6,1,24,5,591.0,0.0,0.0
137,01-10 01,1,3,1,0.0,39938.0,394.2,21.2,98,1,15,5170,1,76,4.113,1,32,4.097,1,19,6,1,24,5,8357.039999999999,0.0,0.0
138,01-10 01,1,3,1,0.0,39938.0,394.2,5.2,98,1,15,5170,1,76,4.112,1,32,4.098,1,19,6,1,24,5,2049.84,0.0,0.0
139,01-10 01,1,3,1,0.0,39938.0,394.2,0.9,98,1,15,5250,1,76,4.113,1,32,4.098,1,19,6,1,24,5,354.78,0.0,0.0
140,01-10 01,1,3,1,0.0,39938.0,394.2,12.0,98,1,15,5250,1,7,4.113,1,95,4.098,1,19,6,1,24,5,4730.4,0.0,0.0
141,01-10 01,1,3,1,0.0,39938.0,394.5,1.0,98,1,15,5175,1,7,4.114,1,95,4.104,1,19,6,1,24,5,394.5,0.0,0.0
142,01-10 01,1,3,1,0.0,39938.0,394.5,1.5,98,1,15,5175,1,7,4.115,1,95,4.104,1,19,6,1,24,5,591.75,0.0,0.0
143,01-10 01,1,3,1,0.0,39938.0,394.5,1.5,98,1,15,5175,1,17,4.115,1,75,4.105,1,19,6,1,24,5,591.75,0.0,0.0
144,01-10 01,1,3,1,0.0,39938.0,394.7,1.0,98,1,15,5175,1,17,4.115,1,75,4.105,1,19,6,1,24,5,394.7,0.0,0.0
145,01-10 01,1,3,1,0.0,39938.0,394.5,1.0,98,1,15,5175,1,17,4.1160000000000005,1,75,4.105,1,19,6,1,24,5,394.5,0.0,0.0
146,01-10 01,1,3,1,0.0,39938.0,394.7,1.0,98,1,15,5175,1,17,4.1160000000000005,1,75,4.106,1,19,6,1,24,5,394.7,0.0,0.0
